,champion_name,champion_class,patch,y_true,y_pred,error,abs_error
567,Aatrox,Fighter,14.22,1.2000000000000028,0.15755388,1.0424461185932188,1.0424461185932188
439,Ahri,Unknown,14.18,-0.20000000000000284,0.39585596,-0.5958559632301359,0.5958559632301359
568,Anivia,Unknown,14.22,0.509999999999998,0.12537672,0.38462328374385635,0.38462328374385635
527,Aphelios,Unknown,14.20,0.980000000000004,-0.05281161,1.032811611443762,1.032811611443762
425,Ashe,Marksman,14.17,-2.049999999999997,-0.6608775,-1.3891224741935702,1.3891224741935702
543,AurelionSol,Unknown,14.21,-1.7100000000000009,-0.12591785,-1.5840821480751046,1.5840821480751046
415,Azir,Unknown,14.16,-3.25,0.676786,-3.9267860054969788,3.9267860054969788
440,Azir,Unknown,14.18,-4.539999999999999,-2.5783346,-1.9616654300689689,1.9616654300689689
544,Azir,Unknown,14.21,1.519999999999996,1.0809467,0.43905331611632903,0.43905331611632903
569,Blitzcrank,Unknown,14.22,-1.2800000000000011,-0.33749157,-0.9425084280967724,0.9425084280967724
545,Brand,Mage,14.21,-0.37999999999999545,0.06431074,-0.44431073695420764,0.44431073695420764
570,Briar,Unknown,14.22,1.1400000000000006,0.5378941,0.6021058702468878,0.6021058702468878
426,Caitlyn,Marksman,14.17,-1.3400000000000034,-0.3759728,-0.9640271925926243,0.9640271925926243
528,Caitlyn,Marksman,14.20,1.8100000000000023,2.117949,-0.3079490089416481,0.3079490089416481
591,Caitlyn,Marksman,14.23,-1.230000000000004,-1.0833681,-0.14663193702698152,0.14663193702698152
546,Camille,Fighter,14.21,-1.5200000000000031,-0.6592061,-0.8607939076423676,0.8607939076423676
416,Corki,Unknown,14.16,-2.6899999999999977,-1.7931203,-0.8968797349929787,0.8968797349929787
441,Corki,Unknown,14.18,-4.790000000000006,-2.757824,-2.0321760559082094,2.0321760559082094
529,Corki,Unknown,14.20,4.3700000000000045,1.5309305,2.8390694808960006,2.8390694808960006
547,Corki,Unknown,14.21,7.509999999999998,6.782567,0.727432975769041,0.727432975769041
571,Corki,Unknown,14.22,-1.9399999999999977,3.5581024,-5.498102369308469,5.498102369308469
548,Elise,Unknown,14.21,0.7700000000000031,-0.77471983,1.5447198343277009,1.5447198343277009
600,Elise,Unknown,14.24,0.04999999999999716,-0.09569485,0.14569484740495398,0.14569484740495398
427,Ezreal,Marksman,14.17,-0.269999999999996,-0.5948491,0.3248491096496622,0.3248491096496622
549,Fiddlesticks,Unknown,14.21,0.8299999999999983,0.068969645,0.7610303553938849,0.7610303553938849
572,Fizz,Assassin,14.22,-0.38000000000000256,0.05763351,-0.4376335117220904,0.4376335117220904
550,Galio,Unknown,14.21,0.28000000000000114,0.16453552,0.11546447753906364,0.11546447753906364
442,Gnar,Unknown,14.18,-3.4399999999999977,-0.395223,-3.044777008295057,3.044777008295057
428,Graves,Unknown,14.17,-0.18000000000000682,-0.3124073,0.13240731477736745,0.13240731477736745
