,champion_class,count,mae,median_abs_error,std_abs_error,mse,std_squared_error,rmse
0,Assassin,7,0.5062217314754207,0.21902017891406445,0.6047126591266344,0.5696982129391202,1.195057437428762,0.7547835537020664
1,Fighter,6,0.5007351883268001,0.4362705290317521,0.3877341582363117,0.37601721004802696,0.4395846341199597,0.6132024217564922
2,Mage,5,0.7419222890138599,0.551509535163639,0.619883904528417,0.8578535270102818,1.2985755029405937,0.926203825845198
3,Marksman,15,0.7293142023483933,0.5123788785934451,0.7175568914756153,1.0124612387509446,1.5292499323322282,1.006211329071058
4,Support,4,0.33496770277619525,0.09002538919449066,0.5344793506754748,0.3264544941270194,0.6403602675532475,0.5713619641934694
5,Tank,6,1.4042408728599558,1.2174496889114366,1.4273027778632308,3.669553445423903,6.06211296585062,1.9156078527255789
6,Unknown,86,1.0267601251307343,0.6788606274127993,1.0355770810506144,2.1141862466255907,4.254647524258849,1.454024156135513
