group,count,mae,mean_change,std_change,percentage
With Changes,149,0.8228714689806151,-0.1465771812080538,1.885670277206662,62.34309623430963
Without Changes,90,0.3211831000016792,-0.03155555555555552,1.7817482332085588,37.65690376569037
