,champion_class,count,mae,median_abs_error,std_abs_error,mse,std_squared_error,rmse
0,Assassin,22,0.43756339606913613,0.23916021227836737,0.5755401454322169,0.5076515273562322,1.094092253410429,0.7124966858563149
1,Fighter,49,0.63131096580807,0.2922677612304625,0.7773549807305542,0.9905020410841467,2.0909585501830037,0.9952396902676997
2,Mage,54,0.6048968432557381,0.32843674182892,0.7470950891055709,0.9137151321803871,2.192024064853289,0.9558844763779707
3,Marksman,44,0.8133360163224025,0.4556660288572303,0.8023528415018673,1.290654419479995,1.8243092455753784,1.1360697247440383
4,Support,16,0.3514505928754801,0.11173647761344796,0.4352665944313531,0.30113346444615274,0.5848197400348989,0.5487562887531703
5,Tank,54,0.7296802788600326,0.14375645637512235,1.0970126623439416,1.7135842243790327,3.7972519620923735,1.309039428122405
