,r2,rmse,n_features
All features,0.7200482843374336,0.8064178408386393,206.0
Without ability changes,0.7090713255913574,0.8220757260911735,29.0
Without item changes,0.7310243460662509,0.7904511701113914,202.0
Without champion statistics,0.7232801631410701,0.8017495173261957,192.0
Patch changes only,0.011126530498157705,1.5156150995089424,195.0
Context only,-0.18847921448455618,1.66155360103168,2.0
Without temporal features,0.02085320746743069,1.5081427943597667,197.0
Temporal features only,0.7121587589217995,0.8177020187285607,9.0
